price,price_per_sq_m,sq_meter,location,type_of_property
139900.0,454.39,57.0,"Žilina - Hliny, okres Žilina",2 izbový byt
247000.0,308.41,107.0,"Predmestská, Žilina - Staré mesto, okres Žilina",4 izbový byt
129990.0,443.42,53.2,"Čajakova, Žilina, okres Žilina",2 izbový byt
103000.0,861.11,36.0,"Žilina - Vlčince, okres Žilina",1 izbový byt
152000.0,666.67,57.0,"Severná, Žilina - Hliny, okres Žilina",2 izbový byt
109990.0,46.81,36.1,"Pittsburgská, Žilina - Vlčince, okres Žilina",1 izbový byt
106500.0,42.86,35.0,"Bajzova, Žilina - Hliny, okres Žilina",1 izbový byt
169000.0,864.41,59.0,"Jarná 2604/8, Žilina - Hliny, okres Žilina",2 izbový byt
126990.0,308.91,55.0,"Hollého, Žilina - Staré mesto, okres Žilina",2 izbový byt
104995.0,624.88,40.0,"Trenčianska 1589/4, Žilina - Vlčince, okres Žilina",1 izbový byt
114900.0,795.31,64.0,"Žilina, okres Žilina",2 izbový byt
212900.0,838.67,75.0,"Terchová, okres Žilina",3 izbový byt
311203.56,929.71,161.27,"Žilina, okres Žilina",Mezonet
271900.0,99.99,87.71,"Pražská, Žilina - Vlčince, okres Žilina",3 izbový byt
109900.0,639.07,30.2,"Pražská, Žilina - Vlčince, okres Žilina",1 izbový byt
145000.0,196.97,66.0,"Severná, Žilina - Hliny, okres Žilina",3 izbový byt
139900.0,840.79,76.0,"Veľká Okružná, Žilina - Staré mesto, okres Žilina",3 izbový byt
145000.0,42.25,71.0,"Hájik, Žilina - Hájik, okres Žilina",3 izbový byt
138900.0,877.03,74.0,"Žilina - Hliny, okres Žilina",2 izbový byt
105000.0,842.11,57.0,"Bratislavská, Žilina, okres Žilina",2 izbový byt
153000.0,684.21,57.0,"Hliny 7, Žilina - Hliny, okres Žilina",2 izbový byt
143000.0,698.11,53.0,"Žilina, okres Žilina",2 izbový byt
118500.0,768.66,67.0,"Žilina - Staré mesto, okres Žilina",2 izbový byt
113000.0,838.48,39.81,"Rosina, okres Žilina",Dvojgarsónka
145000.0,636.36,55.0,"Žilina - Vlčince, okres Žilina",2 izbový byt
200000.0,265.01,88.3,"Rosina, okres Žilina",3 izbový byt
