price,price_per_sq_m,sq_meter,location,type_of_property
1400.0,10.53,133.0,"Tajovského, Žilina - Bôrik, okres Žilina",4 izbový byt
750.0,12.5,60.0,"Pražská 9037, Žilina - Vlčince, okres Žilina",2 izbový byt
,,,"Žilina - Staré mesto, okres Žilina",2 izbový b
,,,"Jána Milca 807/1, Žilina - Staré mesto, okres Žilina",2 izbový b
650.0,6.91,94.0,"Žilina - Staré mesto, okres Žilina",3 izbový byt
750.0,10.71,70.0,"Jaseňová 3217/17, Žilina - Solinky, okres Žilina",3 izbový byt
650.0,10.83,60.0,"Sad na studničkách 1031/7, Žilina - Staré mesto, okres Žilina",2 izbový byt
590.0,14.75,40.0,"Makovického, Žilina - Staré mesto, okres Žilina",2 izbový byt
350.0,14.58,24.0,"1. mája 736/26, Žilina - Staré mesto, okres Žilina",Garsónka
420.0,8.75,48.0,"Žilina - Staré mesto, okres Žilina",2 izbový byt
780.0,13.22,59.0,"Pražská, Žilina - Vlčince, okres Žilina",2 izbový byt
550.0,6.11,90.0,"Mariánske námestie, Žilina - Staré mesto, okres Žilina",2 izbový byt
485.0,9.9,49.0,"Žilina - Bytčica, okres Žilina",1 izbový byt
,,,"Žilina, okres Žilina",3 izbový b
750.0,15.96,47.0,"Žilina, okres Žilina",2 izbový byt
1100.0,9.82,112.0,"Žilina, okres Žilina",3 izbový byt
800.0,16.0,50.0,"Žilina, okres Žilina",2 izbový byt
600.0,10.91,55.0,"Žilina - Hliny, okres Žilina",2 izbový byt
400.0,8.89,45.0,"Žilina, okres Žilina",1 izbový byt
850.0,12.14,70.0,"A. Bernoláka, Žilina, okres Žilina",3 izbový byt
1100.0,11.58,95.0,"Za plavárňou, Žilina - Bôrik, okres Žilina",3 izbový byt
950.0,15.83,60.0,"Rosina, okres Žilina",2 izbový byt
890.0,16.18,55.0,"Žilina - Hliny, okres Žilina",2 izbový byt
620.0,13.19,47.0,"Predmestská, Žilina - Staré mesto, okres Žilina",2 izbový byt
700.0,12.96,54.0,"Predmestská, Žilina - Staré mesto, okres Žilina",2 izbový byt
350.0,12.96,27.0,"Žilina, okres Žilina",Garsónka
650.0,11.21,58.0,"Žilina, okres Žilina",2 izbový byt
900.0,12.86,70.0,"Mariánske námestie, Žilina, okres Žilina",3 izbový byt
750.0,9.26,81.0,"Žilina, okres Žilina",3 izbový byt
715.0,11.0,65.0,"Žilina, okres Žilina",2 izbový byt
650.0,11.61,56.0,"Kálov, Žilina - Staré mesto, okres Žilina",2 izbový byt
720.0,14.69,49.0,"Žilina, okres Žilina",2 izbový byt
700.0,10.94,64.0,"Žilina - Solinky, okres Žilina",3 izbový byt
480.0,10.0,48.0,"Žilina, okres Žilina",2 izbový byt
